"utilization_type","state","ndc","labeler_code","product_code","package_size","year","quarter","suppression_used","product_name","units_reimbursed","number_of_prescriptions","total_amount_reimbursed","medicaid_amount_reimbursed","non_medicaid_amount_reimbursed"
"FFSU","XX","00002803101",2,8031,"01",2012,4,FALSE,"GLUCAGON",20731.001,13802,3029894.1,2837685.68,192208.42
"MCOU","XX","00002803101",2,8031,"01",2012,4,FALSE,"GLUCAGON",17568,11626,2491603.07,2393288.65,98314.42
"FFSU","XX","00169706515",169,7065,"15",2012,4,FALSE,"GLUCAGEN",4566,3704,648363.44,624682.93,23680.51
"MCOU","XX","00169706515",169,7065,"15",2012,4,FALSE,"GLUCAGEN",1135,859,181163.62,156450.08,24713.54
"FFSU","XX","55390000401",55390,4,"01",2012,4,FALSE,"GLUCAGEN G",1245,1059,131365.17,123546.23,7818.94
"MCOU","XX","55390000401",55390,4,"01",2012,4,FALSE,"GLUCAGEN G",460,337,55643.45,50986.77,4656.68
"FFSU","XX","55390000410",55390,4,"10",2012,4,FALSE,"GLUCAGEN G",155,118,28041.44,21135.33,6906.11
"MCOU","XX","55390000410",55390,4,"10",2012,4,FALSE,"GLUCAGEN G",80,68,6781.62,6261.18,520.44
"FFSU","XX","00002803101",2,8031,"01",2012,3,FALSE,"GLUCAGON",30513.5,19979,4395178.21,4093861.45,301316.76
"MCOU","XX","00002803101",2,8031,"01",2012,3,FALSE,"GLUCAGON",21413.5,14034,3027488.4,2873924.75,153563.65
"FFSU","XX","00169706515",169,7065,"15",2012,3,FALSE,"GLUCAGEN",5650.001,4372,761864.26,726403.89,35460.37
"MCOU","XX","00169706515",169,7065,"15",2012,3,FALSE,"GLUCAGEN",1477,1137,211298.51,189439.42,21859.09
"FFSU","XX","55390000401",55390,4,"01",2012,3,FALSE,"GLUCAGEN G",1603,1287,163966.84,155558.59,8408.25
"MCOU","XX","55390000401",55390,4,"01",2012,3,FALSE,"GLUCAGEN G",664,411,84591.51,77774.27,6817.24
"FFSU","XX","55390000410",55390,4,"10",2012,3,FALSE,"GLUCAGEN G",197,149,34726.05,23675.65,11050.4
"MCOU","XX","55390000410",55390,4,"10",2012,3,FALSE,"GLUCAGEN G",117,54,13635.21,13193.09,442.12
"FFSU","XX","00002803101",2,8031,"01",2012,2,FALSE,"GLUCAGON",20524.001,13799,2776794.67,2600047.84,176746.83
"MCOU","XX","00002803101",2,8031,"01",2012,2,FALSE,"GLUCAGON",16494.112,10775,2148261.99,2043948.1,104313.89
"FFSU","XX","00169706515",169,7065,"15",2012,2,FALSE,"GLUCAGEN",4596.001,3674,614224.41,593607.33,20617.08
"MCOU","XX","00169706515",169,7065,"15",2012,2,FALSE,"GLUCAGEN",1096,829,212724.11,207029.55,5694.56
