"utilization_type","state","ndc","labeler_code","product_code","package_size","year","quarter","suppression_used","product_name","units_reimbursed","number_of_prescriptions","total_amount_reimbursed","medicaid_amount_reimbursed","non_medicaid_amount_reimbursed"
"FFSU","XX","00002751001",2,7510,"01",2012,4,FALSE,"HUMALOG",1548945.941,85275,20916413.97,20117608.83,798805.14
"MCOU","XX","00002751001",2,7510,"01",2012,4,FALSE,"HUMALOG",1041821.324,59770,14277528.98,13561173.5,716355.48
"FFSU","XX","00002751017",2,7510,"17",2012,4,FALSE,"HUMALOG",15070.385,3937,203174.12,196883.92,6290.2
"MCOU","XX","00002751017",2,7510,"17",2012,4,FALSE,"HUMALOG",2689.7,493,112965.08,111209.94,1755.14
"FFSU","XX","00002751101",2,7511,"01",2012,4,FALSE,"HUMALOG MI",176060.6,7687,2361809.11,2325240.3,36568.81
"MCOU","XX","00002751101",2,7511,"01",2012,4,FALSE,"HUMALOG MI",174283.2,8184,2459362.24,2327495.85,131866.39
"FFSU","XX","00002751201",2,7512,"01",2012,4,FALSE,"HUMALOG MI",23050.1,776,314155.35,311599.48,2555.87
"MCOU","XX","00002751201",2,7512,"01",2012,4,FALSE,"HUMALOG MI",23270,832,322135.41,308713.92,13421.49
"FFSU","XX","00002751659",2,7516,"59",2012,4,FALSE,"HUMALOG",74710.05,4728,1321448.01,1233079.01,88369
"MCOU","XX","00002751659",2,7516,"59",2012,4,FALSE,"HUMALOG",23782.5,1476,395359.55,373466.97,21892.58
"FFSU","XX","00002803101",2,8031,"01",2012,4,FALSE,"GLUCAGON",20731.001,13802,3029894.1,2837685.68,192208.42
"MCOU","XX","00002803101",2,8031,"01",2012,4,FALSE,"GLUCAGON",17568,11626,2491603.07,2393288.65,98314.42
"FFSU","XX","00002872501",2,8725,"01",2012,4,FALSE,"HUMALOG PE",160,16,2117.64,2117.64,0
"FFSU","XX","00002872559",2,8725,"59",2012,4,FALSE,"HUMALOG PE",417.1,44,5617.81,5413.46,204.35
"MCOU","XX","00002872559",2,8725,"59",2012,4,FALSE,"HUMALOG PE",876.05,61,12475.54,12475.54,0
"MCOU","XX","00002879459",2,8794,"59",2012,4,FALSE,"HUMALOG MI",362,13,3488.39,3488.39,0
"FFSU","XX","00002879701",2,8797,"01",2012,4,FALSE,"HUMALOG MI",720,34,11322.39,11302.39,20
"MCOU","XX","00002879701",2,8797,"01",2012,4,FALSE,"HUMALOG MI",1619,67,28578.67,28557.67,21
"FFSU","XX","00002879759",2,8797,"59",2012,4,FALSE,"HUMALOG MI",158932.4,7005,2713953.5,2654588.1,59365.4
"MCOU","XX","00002879759",2,8797,"59",2012,4,FALSE,"HUMALOG MI",142607.001,6863,2470753.12,2449889.01,20864.11
"MCOU","XX","00002879801",2,8798,"01",2012,4,FALSE,"HUMALOG MI",450,20,7264.44,7264.44,0
"FFSU","XX","00002879859",2,8798,"59",2012,4,FALSE,"HUMALOG MI",18184,667,316191.8,311781.94,4409.86
"MCOU","XX","00002879859",2,8798,"59",2012,4,FALSE,"HUMALOG MI",27293,1142,477328.57,470465.24,6863.33
"FFSU","XX","00002879901",2,8799,"01",2012,4,FALSE,"HUMALOG KW",1109,132,19593.59,18699.88,893.71
"MCOU","XX","00002879901",2,8799,"01",2012,4,FALSE,"HUMALOG KW",609,51,10750.62,10514.14,236.48
"FFSU","XX","00002879959",2,8799,"59",2012,4,FALSE,"HUMALOG KW",801949.1,43705,13929888.97,13478841.37,451047.6
"MCOU","XX","00002879959",2,8799,"59",2012,4,FALSE,"HUMALOG KW",546795.185,31411,9430568.39,9236178.7,194389.69
"FFSU","XX","00169330312",169,3303,"12",2012,4,FALSE,"NOVOLOG PE",49805,3054,887464.3,814799.49,72664.81
"MCOU","XX","00169330312",169,3303,"12",2012,4,FALSE,"NOVOLOG PE",42051.05,2490,705521.79,673365.82,32155.97
"FFSU","XX","00169368512",169,3685,"12",2012,4,FALSE,"NOVOLOG MI",213673.86,10036,2926256.42,2875473.72,50782.7
"MCOU","XX","00169368512",169,3685,"12",2012,4,FALSE,"NOVOLOG MI",382221.96,18142,5185598.69,5150581.88,35016.81
"FFSU","XX","00169369619",169,3696,"19",2012,4,FALSE,"NOVOLOG MI",228327.9,10062,4027379.61,3913217.67,114161.94
"MCOU","XX","00169369619",169,3696,"19",2012,4,FALSE,"NOVOLOG MI",341238.2,16098,5935518.35,5922699.84,12818.51
"FFSU","XX","00169633910",169,6339,"10",2012,4,FALSE,"NOVOLOG FL",836415.583,47199,14778679.92,14282577.49,496102.43
"MCOU","XX","00169633910",169,6339,"10",2012,4,FALSE,"NOVOLOG FL",931376.113,52937,16203639.04,16046901.92,156737.12
"FFSU","XX","00169706515",169,7065,"15",2012,4,FALSE,"GLUCAGEN",4566,3704,648363.44,624682.93,23680.51
"MCOU","XX","00169706515",169,7065,"15",2012,4,FALSE,"GLUCAGEN",1135,859,181163.62,156450.08,24713.54
"FFSU","XX","00169750111",169,7501,"11",2012,4,FALSE,"NOVOLOG 10",1110269.784,62957,15220743.87,14350269.83,870474.04
"MCOU","XX","00169750111",169,7501,"11",2012,4,FALSE,"NOVOLOG 10",1362853.894,76731,18379088.78,17899986.35,479102.43
"FFSU","XX","55390000401",55390,4,"01",2012,4,FALSE,"GLUCAGEN G",1245,1059,131365.17,123546.23,7818.94
"MCOU","XX","55390000401",55390,4,"01",2012,4,FALSE,"GLUCAGEN G",460,337,55643.45,50986.77,4656.68
"FFSU","XX","55390000410",55390,4,"10",2012,4,FALSE,"GLUCAGEN G",155,118,28041.44,21135.33,6906.11
"MCOU","XX","55390000410",55390,4,"10",2012,4,FALSE,"GLUCAGEN G",80,68,6781.62,6261.18,520.44
"FFSU","XX","00002751001",2,7510,"01",2012,3,FALSE,"HUMALOG",1695222.072,93603,22541537.48,21655476.39,886061.09
"MCOU","XX","00002751001",2,7510,"01",2012,3,FALSE,"HUMALOG",1069533.067,61630,14653334.1,13745169.16,908164.94
"FFSU","XX","00002751017",2,7510,"17",2012,3,FALSE,"HUMALOG",13789.767,3806,181049.08,177251.35,3797.73
"MCOU","XX","00002751017",2,7510,"17",2012,3,FALSE,"HUMALOG",2176.28,440,196677.6,194331.3,2346.3
"FFSU","XX","00002751101",2,7511,"01",2012,3,FALSE,"HUMALOG MI",204582.4,8930,2699913.11,2659312.1,40601.01
"MCOU","XX","00002751101",2,7511,"01",2012,3,FALSE,"HUMALOG MI",187363.45,8845,2712397.86,2461440.37,250957.49
"FFSU","XX","00002751201",2,7512,"01",2012,3,FALSE,"HUMALOG MI",27610.5,916,366148.75,363652.23,2496.52
"MCOU","XX","00002751201",2,7512,"01",2012,3,FALSE,"HUMALOG MI",24394,903,337972.05,318867.29,19104.76
"FFSU","XX","00002751659",2,7516,"59",2012,3,FALSE,"HUMALOG",77619,4850,1339728.9,1253138.03,86590.87
"MCOU","XX","00002751659",2,7516,"59",2012,3,FALSE,"HUMALOG",25395.6,1546,412867.59,387809.36,25058.23
"FFSU","XX","00002803101",2,8031,"01",2012,3,FALSE,"GLUCAGON",30513.5,19979,4395178.21,4093861.45,301316.76
"MCOU","XX","00002803101",2,8031,"01",2012,3,FALSE,"GLUCAGON",21413.5,14034,3027488.4,2873924.75,153563.65
"FFSU","XX","00002872501",2,8725,"01",2012,3,FALSE,"HUMALOG PE",93,18,1081.63,1081.63,0
"FFSU","XX","00002872559",2,8725,"59",2012,3,FALSE,"HUMALOG PE",673.25,52,10080.56,9512.08,568.48
"MCOU","XX","00002872559",2,8725,"59",2012,3,FALSE,"HUMALOG PE",1411,85,20332.04,20332.04,0
"FFSU","XX","00002879459",2,8794,"59",2012,3,FALSE,"HUMALOG MI",786,32,11244.19,11244.19,0
"MCOU","XX","00002879459",2,8794,"59",2012,3,FALSE,"HUMALOG MI",1345,74,19613.04,19601.04,12
"FFSU","XX","00002879701",2,8797,"01",2012,3,FALSE,"HUMALOG MI",837,41,12153.58,12153.58,0
"MCOU","XX","00002879701",2,8797,"01",2012,3,FALSE,"HUMALOG MI",1374,58,22342.32,22297.32,45
"FFSU","XX","00002879759",2,8797,"59",2012,3,FALSE,"HUMALOG MI",183055,8129,3143984.54,3078275.98,65708.56
"MCOU","XX","00002879759",2,8797,"59",2012,3,FALSE,"HUMALOG MI",142708,6886,2443286.38,2411738.94,31547.44
"MCOU","XX","00002879801",2,8798,"01",2012,3,FALSE,"HUMALOG MI",255,14,4291.72,4291.72,0
"FFSU","XX","00002879859",2,8798,"59",2012,3,FALSE,"HUMALOG MI",20574,758,355656.28,348226.56,7429.72
"MCOU","XX","00002879859",2,8798,"59",2012,3,FALSE,"HUMALOG MI",27555,1156,480505.48,461153.42,19352.06
"FFSU","XX","00002879901",2,8799,"01",2012,3,FALSE,"HUMALOG KW",963,128,18357.66,18275.89,81.77
"MCOU","XX","00002879901",2,8799,"01",2012,3,FALSE,"HUMALOG KW",432,38,7100.38,6956.48,143.9
"FFSU","XX","00002879959",2,8799,"59",2012,3,FALSE,"HUMALOG KW",842164.5,45766,14517028.82,14033633.97,483394.85
"MCOU","XX","00002879959",2,8799,"59",2012,3,FALSE,"HUMALOG KW",538688.302,30508,9138944.77,8940329.43,198615.34
"FFSU","XX","00169330312",169,3303,"12",2012,3,FALSE,"NOVOLOG PE",49953.001,3028,862650,796172.92,66477.08
"MCOU","XX","00169330312",169,3303,"12",2012,3,FALSE,"NOVOLOG PE",44859.1,2612,715872.54,687561.18,28311.36
"FFSU","XX","00169368512",169,3685,"12",2012,3,FALSE,"NOVOLOG MI",249712.64,11666,3303742.64,3254616.7,49125.94
"MCOU","XX","00169368512",169,3685,"12",2012,3,FALSE,"NOVOLOG MI",389995.06,18286,5136669.39,5107318.17,29351.22
"FFSU","XX","00169369619",169,3696,"19",2012,3,FALSE,"NOVOLOG MI",261580.4,11549,4452505.47,4338480.96,114024.51
"MCOU","XX","00169369619",169,3696,"19",2012,3,FALSE,"NOVOLOG MI",348069.1,16470,5851742.72,5824580.36,27162.36
"FFSU","XX","00169633910",169,6339,"10",2012,3,FALSE,"NOVOLOG FL",837882.006,46855,14264472,13781938.83,482533.17
